wallet_id,tx_count,deposit_count,borrow_count,repay_count,withdraw_count,liquidated_count,liquidator_count,is_liquidator,account_age_days,tx_frequency,total_deposit_usd,total_borrow_usd,total_repay_usd,total_withdraw_usd,total_liquidated_usd,repay_ratio,liquidation_ratio,unique_assets,borrow_deposit_ratio,withdraw_deposit_ratio,avg_time_between_txs,std_time_between_txs,first_tx_time,last_tx_time,time_consistency,amount_volatility,repay_to_borrow_ratio,days_since_last_tx,asset_DAI_count,asset_ETH_count,asset_USDC_count,asset_BAT_count,asset_ZRX_count,asset_WBTC_count,deposits_pct,borrows_pct,repays_pct,withdraws_pct,liquidations_pct,asset_REP_count,anomaly_score,anomaly_probability,potential_bot,high_borrow_risk,high_withdraw_risk,credit_score
0x00b1812ff2c3f4e844048dba13c3a28749cd98f4,4,1,0,0,3,0,0,False,36.64398148148148,0.10915844398681002,7956.3207427737125,0.0,0.0,8051.748646300641,0.0,0.0,0.0,1,0.0,1.0118667961967829,293.15185185185186,127.0702909677579,1563228572,1566394612,0.43198875059864056,0.7024610446222972,0.0,2083.8123051399657,4.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,1,0.31847197245324305,False,False,False,52
0x00b8fe7c85998bbab5e71d2378e927b554b6d78f,6,0,2,1,3,0,0,False,141.8724074074074,0.0422915217246587,0.0,617.4958002386369,711.3821769654709,100.000845,0.0,1.1520437494320621,0.0,2,617.4958002386369,100.000845,680.9875555555556,942.9720156978422,1566749217,1579006993,1.382682144294679,1.248638629698363,0.5,1937.8356732170835,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.5,0.0,3.0,1,0.3701731513977474,False,True,True,79
0x00c92eb397fc58747d3327a5c71ee7712fadb6a6,12,0,12,0,0,0,0,False,26.382094907407406,0.45485394704689325,0.0,47.51471934234802,0.0,0.0,0.0,0.0,0.0,1,47.51471934234802,0.0,57.56093434343435,150.6805815630846,1583780968,1586060381,2.573056308825414,0.5456267222644081,0.0,1856.1992380550696,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.3333485115523385,False,True,False,43
0x00d3616e6ceb7e33605e12530f2d58dc806372ec,6,0,3,3,0,0,0,False,0.03293981481481482,182.15038650737876,0.0,155.97722391764506,155.8479357918028,0.0,0.0,0.9991711089440178,0.0,2,155.97722391764506,0.0,0.15811111111111112,0.16295146213626216,1583594189,1583597035,0.1407045149406466,1.1610896445445686,1.0,1884.7101871518764,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,1,0.3630332712741381,True,True,False,61
0x00d6eddba006378cb3d7a635d180666dda30442e,3,2,0,0,1,0,0,False,9.09537037037037,0.3298381349893108,10.56711219226021,0.0,0.0,8.600777884553619,0.0,0.0,0.0,2,0.0,0.7435544621334765,109.14444444444445,154.3354830843798,1564626471,1565412311,1.4012098736602625,0.681107528421181,0.0,2095.181529767152,1.0,0.0,0.0,2.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,1,0.3153043458761014,False,False,False,52
0x00e36307236118b7d5ff9e1fa3a2506fd5257b8a,96,0,0,96,0,0,0,False,26.020428240740742,3.689408917939742,0.0,0.0,3574.9127000859853,0.0,0.0,0.0,0.0,7,0.0,0.0,6.57358187134503,12.140419561790994,1580662844,1582911009,1.6029957512870878,1.1663376163562609,0.0,1892.6503029381704,2.0,71.0,5.0,1.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,6.0,1,0.4292879683677918,False,False,False,61
0x00f57b489bcc01e8526a645ac5880f40638a1e9a,6,1,1,1,3,0,0,False,0.5179282407407407,11.584616416009297,19.891177,11.936093067433017,11.936093067433017,19.734596,0.0,1.0,0.0,2,0.5713461270005523,0.9446378248578335,2.4860555555555552,4.838138947977649,1565680300,1565725049,1.3878548034804967,0.637259105808407,1.0,2091.561877035126,2.0,0.0,4.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.0,0.0,1,0.33872873362508793,False,False,False,79
0x00fe460a15b49d09f39b057d0f1a7b9444f4f2be,23,12,0,0,11,0,0,False,94.28493055555556,0.24394142165112692,9144.205702054416,0.0,0.0,9530.638013147613,0.0,0.0,0.0,4,0.0,1.0421458328713822,102.85628787878788,165.97621579903594,1561216044,1569362262,1.5981335284460494,2.2304052123625966,0.0,2049.4645043726264,6.0,3.0,11.0,0.0,3.0,0.0,0.5217391304347826,0.0,0.0,0.4782608695652174,0.0,0.0,1,0.35942899074778484,False,False,False,62
0x010a6c8a8437027a667af7fae3ab528d0e633ec0,4,0,1,0,3,0,0,False,18.846064814814813,0.21224590063256157,0.0,21.610000000000003,0.0,34.713371350833505,0.0,0.0,0.0,2,21.610000000000003,34.713371350833505,150.7685185185185,117.87796813039498,1569060388,1570688688,0.7766957817145176,0.5218307705547431,0.0,2034.1123516172227,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,1,0.31918895772256933,False,True,True,43
0x010afb8548a5d1a3a3d62f58ca0a5a1329974206,21,2,3,8,8,0,0,False,153.95878472222222,0.13640014136178671,3557.1954205740108,525.7036690114855,525.5554641387528,6644.968770384572,0.0,0.9997180828640373,0.0,2,0.14774446225516152,1.867510910716815,184.75054166666666,428.97745876871437,1563793716,1577095755,2.309427767583707,1.8215174923401103,2.6666666666666665,1959.9564835856247,19.0,2.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.14285714285714285,0.38095238095238093,0.38095238095238093,0.0,0.0,1,0.3614308300517464,False,False,True,85
0x011492e973e8825076420efaef19d8f242c7e2d7,3,1,0,0,2,0,0,False,38.689548611111114,0.07754032051794062,33167.27,0.0,0.0,103436.51508520194,0.0,0.0,0.0,2,0.0,3.118538141579345,464.27458333333334,647.9123190922674,1565191698,1568534475,1.3925375300977663,0.46563038355896047,0.0,2059.045372496598,1.0,0.0,2.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,1,0.3532958123202031,False,False,True,52
0x0118289457e9fd02c05e37e27a11bd09d3500021,75,11,22,30,12,0,0,False,308.8478125,0.24283804827013306,1831018.9905718563,1753798.9162283784,1395997.6925126235,1318195.9615616666,0.0,0.7959850354536527,0.0,4,0.9578261981075583,0.7199243964288852,100.1668581081081,406.82765866224,1558630348,1585314799,4.0213531018972555,1.1101702136188332,1.3636363636363635,1864.8286595577774,20.0,21.0,32.0,0.0,2.0,0.0,0.14666666666666667,0.29333333333333333,0.4,0.16,0.0,0.0,-1,0.6925889461777004,False,False,False,42
